LONGITUDE,LATITUDE,EMPLOYEES,INCOME,ACC_BEFORE,PWC_PRESS_INDEX,FB_LIKES,TWT_FOLLOWERS,YEAR_FOUNDED,EXP_CEO,AREA,PWC_EMPLOYEES,CREDIT,FLAG,CAFE,IT,PUB,RESTAURANT
21.0017163707095,52.2314057981037,2,150426.0,0,-8.07833534412621,1633,138,2010,6.603069784044262,32,0,19950,0,0.0,0.0,1.0,0.0
21.0068688148316,52.2332658119407,6,500078.0,0,17.0328512444591,6128,605,2011,6.603069784044262,44,1,45104,1,0.0,0.0,1.0,0.0
21.0746074383869,52.2790054865787,27,199767.0,0,-7.32162072546331,487,106,2005,6.603069784044262,83,0,499,0,0.0,1.0,0.0,0.0
21.0120824468674,52.2320822895085,5,109200.0,1,1.13543142813292,661,116,2011,6.603069784044262,21,1,0,1,0.0,1.0,0.0,0.0
21.0001250609641,52.2399573325692,3,112200.0,0,0.950873095959514,926,172,2012,5.0,23,0,-997,1,0.0,1.0,0.0,0.0
21.0289443575093,52.2234181063203,17,337500.0,1,3.14796806453533,3731,768,2007,9.0,182,6,60460,1,0.0,1.0,0.0,0.0
21.0133994925779,52.2395281479973,25,382750.0,1,2.2041744668894,3144,717,2011,7.0,193,6,60166,1,0.0,1.0,0.0,0.0
21.134521354341,52.1814345911192,3,71947.0,0,2.09560381213544,810,174,2010,4.0,75,0,19578,0,0.0,1.0,0.0,0.0
21.066007803753,52.2810702981357,2,199999.0,1,-4.62270058419739,536,87,2003,5.0,72,2,693,0,0.0,1.0,0.0,0.0
21.0277345616915,52.2249691291014,4,138500.0,1,2.31879614781815,1613,305,2010,6.0,18,1,2009,1,0.0,1.0,0.0,0.0
21.1978283467684,52.2189889051416,4,80017.0,0,1.21371163024601,809,171,2010,6.603069784044262,82,0,19691,0,0.0,1.0,0.0,0.0
21.0234051463481,52.221373411715,2,149870.0,0,-6.28802030227787,1621,156,2006,7.0,27,2,19939,0,0.0,0.0,1.0,0.0
21.1459262629189,52.1729120547231,3,149785.0,0,-11.2607893733851,1605,159,2006,6.603069784044262,33,0,11900,0,0.0,0.0,1.0,0.0
21.0676146368636,52.2837807110045,3,198893.0,1,-6.9035111517314,541,88,2004,5.0,70,0,0,0,0.0,1.0,0.0,0.0
21.1880401151944,52.2195497370837,47,363340.0,0,-2.30588352726197,1011,186,2007,14.0,372,1,1116,1,0.0,1.0,0.0,0.0
21.0283579816194,52.2313813963486,6,500341.0,0,13.3444473993381,6152,564,2012,6.603069784044262,53,0,60061,0,1.0,0.0,0.0,0.0
21.0056143625833,52.2297148451675,3,150352.0,0,13.3196079178144,1571,175,2009,6.603069784044262,30,0,19845,0,0.0,0.0,0.0,1.0
21.1621953201126,52.1734407190513,52,343110.0,1,-2.59666270585168,1016,208,2003,6.603069784044262,364,4,1017,1,0.0,1.0,0.0,0.0
21.0573278489267,52.285131097862,4,109300.0,1,-4.86109177475894,1630,169,2006,6.603069784044262,32,0,25113,1,0.0,0.0,1.0,0.0
21.0214787450605,52.2204868922848,20,434750.0,1,1.94549144240576,3895,704,2010,6.603069784044262,196,6,0,1,0.0,1.0,0.0,0.0
21.0386818537395,52.2991801199643,4,200323.0,0,-5.99791535307132,508,99,2004,6.0,71,1,998,1,0.0,1.0,0.0,0.0
21.1924862645008,52.181954285088,3,69943.0,1,1.33290300421694,658,139,2011,4.0,75,0,20483,0,0.0,1.0,0.0,0.0
21.1483412511824,52.1905510962638,51,262280.0,0,-3.22400699015079,1064,205,2002,13.0,345,5,1115,1,0.0,1.0,0.0,0.0
21.1849143699398,52.2054929984896,5,79007.0,0,0.251969194379146,818,148,2012,3.0,64,1,19662,1,0.0,1.0,0.0,0.0
21.0149336763716,52.2215284758899,17,332500.0,1,3.66261218962262,3499,699,2007,10.0,196,12,59397,1,0.0,1.0,0.0,0.0
21.0598221132648,52.2991380820516,4,129800.0,0,-26.4493741323429,1580,150,2011,6.0,31,1,19163,0,0.0,0.0,0.0,1.0
21.1666944860108,52.1954726629239,5,62834.0,1,1.6856932105716,741,168,2013,6.603069784044262,76,1,20266,1,0.0,1.0,0.0,0.0
21.1500403431198,52.1865004934999,5,76955.0,1,2.02708795972006,716,163,2014,4.0,74,2,19980,1,0.0,1.0,0.0,0.0
21.0071427581422,52.2283017548407,21,473750.0,1,3.4634712875514,3942,795,2007,6.0,220,8,59045,1,0.0,1.0,0.0,0.0
21.0113112077566,52.2261589497142,2,150870.0,1,-3.83610070233771,1544,175,2000,6.603069784044262,33,0,0,0,0.0,0.0,0.0,1.0
21.1450408445476,52.1717028094037,6,150044.0,0,-6.77800155497069,1584,187,2007,6.603069784044262,30,0,0,0,0.0,0.0,1.0,0.0
21.0265770876671,52.221159665375,6,56700.0,0,1.13218966776961,737,146,2012,6.603069784044262,18,2,0,1,0.0,1.0,0.0,0.0
21.0895710995072,52.2721359122032,3,160600.0,0,-20.3807297481088,1596,169,2006,6.603069784044262,30,0,19120,1,0.0,0.0,1.0,0.0
21.0245065528986,52.2378651634231,4,500207.0,0,1.08691399072584,6031,633,2013,6.603069784044262,49,0,35076,1,0.0,0.0,1.0,0.0
21.1989658866301,52.1834099662886,3,71887.0,0,2.01378167807349,842,158,2011,6.603069784044262,77,1,19722,0,0.0,1.0,0.0,0.0
21.0135819427981,52.235540516125,5,100100.0,0,1.57372847873953,1215,244,2013,4.0,15,5,4005,1,0.0,1.0,0.0,0.0
21.0762212884193,52.272227420737,4,199666.0,1,-5.72195424582418,484,99,2003,6.603069784044262,70,1,895,0,0.0,1.0,0.0,0.0
21.0055657542294,52.2350859348802,4,111200.0,1,3.44721606520049,622,108,2013,6.603069784044262,18,3,1007,1,0.0,1.0,0.0,0.0
21.0599144470645,52.282392370184,32,199540.0,1,-6.69730585318276,504,103,1998,7.0,71,0,0,0,0.0,1.0,0.0,0.0
21.093195941248,52.2752418816602,33,200451.0,1,-4.85811764454058,515,105,2002,8.0,78,1,0,1,0.0,1.0,0.0,0.0
21.1856078920215,52.2165979966917,5,92116.0,0,2.75573867785938,952,177,2012,6.603069784044262,81,4,19448,1,0.0,1.0,0.0,0.0
21.0083538669103,52.2226949555567,6,115200.0,0,2.87347996497367,1223,265,2011,4.0,21,1,0,1,0.0,1.0,0.0,0.0
21.0164588719942,52.2268472324451,2,150391.0,0,-3.51473402512796,1627,175,2009,6.603069784044262,31,2,0,0,1.0,0.0,0.0,0.0
